,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
121,Bandar-e Lengeh,0,IR,1547179200,48,26.56,54.88,18.0,3.1
122,Porto Novo,20,BR,1547179200,88,-23.68,-45.44,23.0,1.5
123,Igurusi,88,TZ,1547180706,96,-8.83,33.85,16.21,0.71
124,Ostersund,0,SE,1547178600,57,63.18,14.64,0.0,17.5
125,Pisco,90,PE,1547179200,83,-13.71,-76.2,23.0,2.1
126,Arlit,0,NE,1547180710,79,18.74,7.39,8.34,1.31
127,Namwala,48,ZM,1547180711,100,-15.75,26.45,19.16,1.61
128,Coquimbo,40,CL,1547179200,87,-29.95,-71.34,15.0,3.6
129,Shakawe,44,BW,1547180713,78,-18.36,21.84,22.51,1.31
130,Pedernales,92,EC,1547180714,100,0.07,-80.05,22.21,2.06
131,Javanrud,0,IR,1547179200,85,34.8,46.49,-8.0,1.86
132,Naze,8,NG,1547180716,87,5.43,7.07,24.01,4.11
133,Porto-Vecchio,0,FR,1547179200,92,41.59,9.28,4.0,1.0
134,Bredasdorp,0,ZA,1547179200,81,-34.53,20.04,12.0,1.5
135,Suslovo,20,RU,1547180719,61,56.22,88.12,-21.92,1.51
136,Cherskiy,0,RU,1547180720,53,68.75,161.3,-17.44,3.71
137,Lagoa,0,PT,1547177400,39,37.14,-8.45,10.0,6.2
138,Tiksi,64,RU,1547180722,0,71.64,128.87,-35.47,1.76
139,Wonthaggi,20,AU,1547180723,55,-38.6,145.59,27.54,1.51
140,Chulman,48,RU,1547180724,65,56.84,124.9,-21.09,1.61
141,Flinders,40,AU,1547179200,88,-34.58,150.85,23.0,4.6
142,Guayaramerin,56,BO,1547180725,91,-10.82,-65.36,23.76,0.91
143,Kilindoni,20,TZ,1547180726,100,-7.91,39.67,28.56,5.66
144,Punta Alta,0,AR,1547179200,78,-27.46,-55.82,24.0,4.1
145,Zapolyarnyy,0,RU,1547178600,79,69.43,30.82,-5.0,13.9
146,Souillac,8,FR,1547179200,100,45.6,-0.6,0.0,1.0
147,Gizo,0,IL,1547178600,81,31.8,34.94,9.0,0.5
148,Hualmay,56,PE,1547180731,94,-11.1,-77.61,19.09,1.66
149,Jackson,1,US,1547178960,77,35.61,-88.82,0.0,2.41
150,Carnarvon,0,ZA,1547180733,56,-30.97,22.13,9.71,1.26
151,Sayyan,0,YE,1547180734,71,15.17,44.32,-0.87,1.51
152,Sitka,12,US,1547180735,54,37.17,-99.65,7.54,7.16
153,Batticaloa,92,LK,1547180736,100,7.71,81.69,25.29,3.66
154,Torbay,90,CA,1547179200,100,47.66,-52.73,1.0,1.0
155,Korcula,88,HR,1547180738,100,42.96,17.14,-1.97,1.16
156,East London,40,ZA,1547179200,93,-33.02,27.91,19.0,5.01
157,Port Moresby,24,PG,1547180740,100,-9.47,147.16,27.79,6.56
158,Murgab,75,TM,1547179200,86,37.5,61.97,4.0,7.2
159,Touros,40,BR,1547179200,88,-5.2,-35.46,24.0,2.1
160,Gornopravdinsk,12,RU,1547180744,29,60.06,69.92,-28.97,1.16
161,Santa Maria,92,BR,1547180680,90,-29.69,-53.81,21.29,1.41
162,Coahuayana,0,MX,1547180747,73,18.62,-100.35,16.21,0.86
163,Yar-Sale,8,RU,1547180748,100,66.83,70.83,-30.74,1.76
164,Tecolutilla,36,MX,1547180749,85,18.28,-93.32,21.34,1.91
165,Hithadhoo,88,MV,1547180750,100,-0.6,73.08,27.21,1.31
166,Tabas,8,IR,1547175600,80,33.6,56.92,1.0,2.1
167,Kita,20,JP,1547179200,27,35.76,139.74,13.6,5.1
168,Elko,90,US,1547178960,92,40.83,-115.76,-1.1,2.6
169,Virginia Beach,1,US,1547179140,51,36.85,-75.98,0.6,9.8
170,Phan Thiet,20,VN,1547180680,83,10.93,108.1,27.56,7.21
171,Tagusao,88,PH,1547180755,91,9.19,117.81,26.81,4.66
172,Itabuna,40,BR,1547175600,94,-14.79,-39.28,25.0,1.5
173,Hasaki,20,JP,1547179200,27,35.73,140.83,12.0,7.7
174,San Quintin,0,PH,1547180757,58,17.54,120.52,27.89,1.81
175,Yulara,0,AU,1547179200,8,-25.24,130.99,42.0,5.7
176,Tynda,48,RU,1547180759,75,55.15,124.74,-24.94,1.06
177,Timra,20,SE,1547178600,48,62.49,17.33,4.0,5.7
178,Ribeira Grande,88,PT,1547180761,100,38.52,-28.7,15.39,13.11
179,Padang,20,ID,1547179200,74,-0.92,100.36,30.0,1.5
180,Karasburg,0,NA,1547180763,70,-28.01,18.75,8.71,1.36
181,Mandalgovi,0,MN,1547180764,56,45.76,106.27,-18.02,2.31
182,Los Llanos de Aridane,75,ES,1547179200,59,28.66,-17.92,16.0,3.6
183,Isangel,0,VU,1547180766,100,-19.55,169.27,26.69,3.01
